BO;Attribute;ARM Element;Source;Rules;Reference path;Remarks;Issues aginast ARM
AlternatePartRelationship;;Alternate_part_relationship;442;;"Alternate_part_relationship <=
Alternate_product_relationship";; Alternate_product_relationship should be a subtype of Product_relationship (nice to have)
;AlternatePartRelationship to Classification (as SELF\PartRelationship.classifiedAs);PATH;;;"Alternate_part_relationship <=
Alternate_product_relationship
/classifiedAs_AS_Classification(Alternate_product_relationship)/";needs review (since BO subtype maps to a separate ARM element);
;AlternatePartRelationship to CharacterString (as criteria);Alternate_product_relationhsip.criteria;442;;"Alternate_part_relationship <=
Alternate_product_relationship
Alternate_product_relationship.criteria";;
;AlternatePartRelationship to LocalizedString (as criteria);PATH;;;"Alternate_part_relationship <=
Alternate_product_relationship
string_select = Alternate_product_relationship
string_select <-
Attribute_translation_assignment.considered_instance
Attribute_translation_assignment
{Attribute_translation_assignment.considered_attribute='criteria'}";;
;AlternatePartRelationship to TranslatedStringSet (as criteria);PATH;;;"Alternate_part_relationship <=
Alternate_product_relationship
string_select = Alternate_product_relationship
string_select <-
Attribute_translation_assignment[i].considered_instance
Attribute_translation_assignment[i]
{Attribute_translation_assignment[i].considered_attribute='criteria'}";;
;AlternatePartRelationship to CharacterString (as SELF\PartRelationship.description);Alternate_product_relationship.description;442;;"Alternate_part_relationship <=
Alternate_product_relationship
Alternate_product_relationship.description";needs review (since BO subtype maps to a separate ARM element);
;AlternatePartRelationship to Descriptor (as SELF\PartRelationship.description);PATH;;;"Alternate_part_relationship <=
Alternate_product_relationship
/description_AS_Descriptor(Alternate_product_relationship)/";needs review (since BO subtype maps to a separate ARM element);
;AlternatePartRelationship to DescriptorSet (as SELF\PartRelationship.description);PATH;;;"Alternate_part_relationship <=
Alternate_product_relationship
/description_AS_DescriptorSet(Alternate_product_relationship)/";needs review (since BO subtype maps to a separate ARM element);
;AlternatePartRelationship to LocalizedString (as description);PATH;;;"Alternate_part_relationship <=
Alternate_product_relationship
/description_AS_LocalizedString(Alternate_product_relationship)/";needs review (since BO subtype maps to a separate ARM element);
;AlternatePartRelationship to TranslatedStringSet (as SELF\PartRelationship.description);PATH;;;"Alternate_part_relationship <=
Alternate_product_relationship
/description_AS_TranslatedStringSet(Alternate_product_relationship)/";needs review (since BO subtype maps to a separate ARM element);
;AlternatePartRelationship to Part (as SELF\PartRelationship.related);Alternate_product_relationship.alternate_product;442;;"{Alternate_product_relationship.alternate_product ->
Product =>
Part}";needs review (since BO subtype maps to a separate ARM element);
;AlternatePartRelationship to Part (as SELF\PartRelationship.relating);Alternate_product_relationship.base_product;442;;"{Alternate_product_relationship.base_product ->
Product =>
Part}";needs review (since BO subtype maps to a separate ARM element);
;AlternatePartRelationship to ClassString (as relationType);PATH;;;"{Alternate_part_relationship <=
Alternate_product_relationship <=
Product_relationship
Product_relationship.relation_type = 'alternate'}";;
Part;;Part;442;;"Part <=
Product";;
;Part to Classification (as classifiedAs);PATH;;;"Part <=
Product
/classifiedAs_AS_Classification(Product)/";;
;Part to CharacterString (as description);Product.description;442;;"Part <=
Product
Product.description";;
;Part to Descriptor (as description);PATH;;;"Part <=
Product
/description_AS_Descriptor(Product)/";;
;Part to DescriptorSet (as description);PATH;;;"Part <=
Product
/description_AS_DescriptorSet(Product)/";;
;Part to LocalizedString (as description);PATH;;;"Part <=
Product
/description_AS_LocalizedString(Product)/";;
;Part to TranslatedStringSet (as description);PATH;;;"Part <=
Product
/description_AS_TranslatedStringSet(Product)/";;
;Part to Identifier (as id);PATH;;;"Part <=
Product
/id_AS_Identifier(Product)/";;
;Part to IdentifierSet (as id);PATH;;;"Part <=
Product
/id_AS_IdentifierSet(Product)/";;
;Part to IdentifierString (as id);Product.id;442;exactly_one_ExchangeContext;"Part <=
Product
Product.id";;
;Part to CharacterString (as name);Product.name;422;;"Part <=
Product
Product.name";;
;Part to Descriptor (as name);PATH;;;"Part <=
Product
/name_AS_Descriptor(Product)/";;
;Part to DescriptorSet (as name);PATH;;;"Part <=
Product
/name_AS_DescriptorSet(Product)/";;
;Part to LocalizedString (as name);PATH;;;"Part <=
Product
/name_AS_LocalizedString(Product)/";;
;Part to TranslatedStringSet (as name);PATH;;;"Part <=
Product
/name_AS_TranslatedStringSet(Product)/";;
;Part to Class (as partTypes);PATH;;;"Part <=
Product
classification_item = Product
classification_item <-
Classification_assignment.items[i]
Classification_assignment
{Classification_assignment.role = 'part type'}
Classification_assignment.assigned_class ->
Class";;
;Part to ClassString (as partTypes);PATH;;restrict_part_category;"Part =>
Part_with_additional_categories
Part_with_additional_categories.categories[1]";Classification instead?;
;Part to ExternalClass (as partTypes);PATH;;;"Part <=
Product
classification_item = Product
classification_item <-
Classification_assignment.items[i]
Classification_assignment
{Classification_assignment.role = 'part type'}
Classification_assignment.assigned_class ->
Class =>
External_class";;
;Part to ExternalOwlClass (as partTypes);PATH;;;"Part <=
Product
classification_item = Product
classification_item <-
Classification_assignment.items[i]
Classification_assignment
{Classification_assignment.role = 'part type'}
Classification_assignment.assigned_class ->
Class =>
External_class
{External_class <-
Classification_assignment.items[1]
Classification_assignment
Classification_assignment.assigned_class ->
Class
Class.id = 'external owl class'}";;
;Part to ExternalItem (as sameAs);PATH;;;"Part <=
Product
/sameAs_AS_ExternalItem(Product)/";;
;Part to ExternalOwlObject (as sameAs);PATH;;;"Part <=
Product
/sameAs_AS_ExternalOWLObject(Product)/";;
;Part to Proxy (as sameAs);PATH;;;"Part <=
Product
/sameAs_AS_Proxy(Product)/";;
;Part to ProxyString (as sameAs);PATH;;;"Part <=
Product
/sameAs_AS_ProxyString(Product)/";;
;Part to PartVersion (as versions);PATH;;;"Part <-
Product_version.of_product
Product_version =>
Part_version";;
PartRelationship;;Product_relationship;;442;"{Product_relationship
[Product_relationship.related_product ->
Product =>
Part]
[Product_relationship.relating_product ->
Product =>
Part]}";;Module Product_relationship module (1024) is not used in AP242 ARM
;PartRelationship to Classification (as classifiedAs);PATH;;;"Product_relationship
/classifiedAs_AS_Classification(Product_relationship)/";;
;PartRelationship to CharacterString (as description);Product_relationship.description;442;;;;
;PartRelationship to Descriptor (as description);PATH;;;"Product_relationship
/description_AS_Descriptor(Product_relationship)/";;
;PartRelationship to DescriptorSet (as description);PATH;;;"Product_relationship
/description_AS_DescriptorSet(Product_relationship)/";;
;PartRelationship to LocalizedString (as description);PATH;;;"Product_relationship
/description_AS_LocalizedString(Product_relationship)/";;
;PartRelationship to TranslatedStringSet (as description);PATH;;;"Product_relationship
/description_AS_TranslatedStringSet(Product_relationship)/";;
;PartRelationship to Identifier (as id);PATH;;;"/MAPPING_OF(PartRelationship)/
/id_AS_Identifier(Product_relationship)/";;
;PartRelationship to IdentifierSet (as id);PATH;;;"/MAPPING_OF(PartRelationship)/
/id_AS_IdentifierSet(Product_relationship)/";;
;PartRelationship to IdentifierString (as id);NO MAPPING;;;;Add Product_relationship.id;no id attribute
;PartRelationship to Part (as related);Product_relationship.related_product;442;;"{Product_relationship.related_product ->
Product =>
Part}";;
;PartRelationship to Part (as relating);Product_relationship.relating_product;442;;"{Product_relationship.relating_product ->
Product =>
Part}";;
;PartRelationship to Class (as relationType);PATH;;;"Product_relationship
/TYPEINFO_AS_Class(Product_relationship, 'relation type')/";;
;PartRelationship to ClassString (as relationType);Product_relationship.relation_type;442;;"Product_relationship.relation_type
{Product_relationship
[Product_relationship.related_product ->
Product =>
Part]
[Product_relationship.relating_product ->
Product =>
Part]}";;
;PartRelationship to ExternalClass (as relationType);PATH;;;"Product_relationship
/TYPEINFO_AS_ExternalClass(Product_relationship, 'relation type')/";;
;PartRelationship to ExternalOwlClass (as relationType);PATH;;;"Product_relationship
/TYPEINFO_AS_ExternalOwlClass(Product_relationship, 'relation type')/";;
PartVersion;;Part_version;442;;"Part_version <=
Product_version";;
;PartVersion to Classification (as classifiedAs);PATH;;;"Part_version <=
Product_version
/classifiedAs_AS_Classification(Product_version)/";;
;PartVersion to CharacterString (as description);Product_version.description;442;;"Part_version <=
Product_version
Product.description";;
;PartVersion to Descriptor (as description);PATH;;;"Part_version <=
Product_version
/description_AS_Descriptor(Product_version)/";;
;PartVersion to DescriptorSet (as description);PATH;;;"Part_version <=
Product_version
/description_AS_DescriptorSet(Product_version)/";;
;PartVersion to LocalizedString (as description);PATH;;;"Part_version <=
Product_version
/description_AS_LocalizedString(Product_version)/";;
;PartVersion to TranslatedStringSet (as description);PATH;;;"Part_version <=
Product_version
/description_AS_TranslatedStringSet(Product_version)/";;
;PartVersion to Identifier (as id);PATH;;;"Part_version <=
Product_version
/id_AS_Identifier(Product_version)/";;
;PartVersion to IdentifierSet (as id);PATH;;;"Part_version <=
Product_version
/id_AS_IdentifierSet(Product_version)/";;
;PartVersion to IdentifierString (as id);Product.id;442;exactly_one_ExchangeContext;"Part_version <=
Product_version
Product_version.id";;
;PartVersion to ExternalItem (as sameAs);PATH;;;"Part_version <=
Product_version
/sameAs_AS_ExternalItem(Product_version)/";;
;PartVersion to ExternalOwlObject (as sameAs);PATH;;;"Part_version <=
Product_version
/sameAs_AS_ExternalOWLObject(Product_version)/";;
;PartVersion to Proxy (as sameAs);PATH;;;"Part_version <=
Product_version
/sameAs_AS_Proxy(Product_version)/";;
;PartVersion to ProxyString (as sameAs);PATH;;;"Part_version <=
Product_version
/sameAs_AS_ProxyString(Product_version)/";;
;PartVersion to PartView (as views);PATH;;;"Part_version <-
Product_view_definition.defined_version
Product_view_definition =>
Part_view_definition";;
PartVersionRelationship;;Product_version_relationship;;;"{Product_version_relationship
[Product_version_relationship.related ->
Product_version =>
Part_version]
[Product_version_relationship.relating ->
Product_version =>
Part_version]}";;Part_version_relationship is missing in the modules (but can life without it)
;PartVersionRelationship to Classification (as classifiedAs);PATH;;;"Product_version_relationship
/classifiedAs_AS_Classification(Product_version_relationship)/";;
;PartVersionRelationship to CharacterString (as description);Product_version_relationship.description;442;;;;
;PartVersionRelationship to Descriptor (as description);PATH;;;"Product_version_relationship
/description_AS_Descriptor(Product_version_relationship)/";;
;PartVersionRelationship to DescriptorSet (as description);PATH;;;"Product_version_relationship
/description_AS_DescriptorSet(Product_version_relationship)/";;
;PartVersionRelationship to LocalizedString (as description);PATH;;;"Product_version_relationship
/description_AS_LocalizedString(Product_version_relationship)/";;
;PartVersionRelationship to TranslatedStringSet (as description);PATH;;;"Product_version_relationship
/description_AS_TranslatedStringSet(Product_version_relationship)/";;
;PartVersionRelationship to Identifier (as id);PATH;;;"/MAPPING_OF(PartVersionRelationship)/
/id_AS_Identifier(Product_version_relationship)/";;
;PartVersionRelationship to IdentifierSet (as id);PATH;;;"/MAPPING_OF(PartVersionRelationship)/
/id_AS_IdentifierSet(Product_version_relationship)/";;
;PartVersionRelationship to IdentifierString (as id);NO MAPPING;;;;Add Product_version_relationship.id;no id attribute
;PartVersionRelationship to PartVersion (as related);Product_version_relationship.related;442;;"{Product_version_relationship.related ->
Product_version =>
Part_version}";;
;PartVersionRelationship to PartVersion (as relating);Product_version_relationship.relating;442;;"{Product_version_relationship.relating ->
Product_version =>
Part_version}";;
;PartVersionRelationship to Class (as relationType);PATH;;;"Product_version_relationship
/TYPEINFO_AS_Class(Product_version_relationship, 'relation type')/";;
;PartVersionRelationship to ClassString (as relationType);Product_version_relationship.relation_type;442;;"Product_version_relationship.relation_type
{Product_version_relationship
[Product_version_relationship.related ->
Product_version =>
Part_version]
[Product_version_relationship.relating ->
Product_version =>
Part_version]}";;
;PartVersionRelationship to ExternalClass (as relationType);PATH;;;"Product_version_relationship
/TYPEINFO_AS_ExternalClass(Product_version_relationship, 'relation type')/";;
;PartVersionRelationship to ExternalOwlClass (as relationType);PATH;;;"Product_version_relationship
/TYPEINFO_AS_ExternalOwlClass(Product_version_relationship, 'relation type')/";;
